axis,event_type,start_time,end_time,duration_s,max_residual,threshold
axis1,ERROR,1140.2730000019656,1153.5100000019884,13.237000000022817,27.2347157276336,20.026619426558103
axis1,ERROR,2435.6080000041984,2454.518000004231,18.910000000032596,46.89579803754856,20.026619426558103
axis1,ALERT,1140.2730000019656,1153.5100000019884,13.237000000022817,27.2347157276336,11.343826265567499
axis1,ALERT,2435.6080000041984,2454.518000004231,18.910000000032596,46.89579803754856,11.343826265567499
axis1,ALERT,2963.197000005108,2980.216000005137,17.019000000029337,20.523424131109007,11.343826265567499
axis2,ALERT,1053.2870000018156,1064.6330000018352,11.346000000019558,48.21847157208896,24.567595268153628
axis2,ALERT,1662.1890000028652,1673.5350000028848,11.346000000019558,41.431562902642526,24.567595268153628
axis3,ERROR,1463.634000002523,1482.5440000025555,18.910000000032596,47.45200815703187,27.697358821767182
axis3,ERROR,1501.4540000025881,1512.8000000026077,11.346000000019558,54.46275587164145,27.697358821767182
axis3,ALERT,423.58400000073016,438.71200000075623,15.128000000026077,26.897764943824566,19.659363741319822
axis3,ALERT,1463.634000002523,1482.5440000025555,18.910000000032596,47.45200815703187,19.659363741319822
axis3,ALERT,1501.4540000025881,1512.8000000026077,11.346000000019558,54.46275587164145,19.659363741319822
axis4,ERROR,2405.3520000041462,2428.0440000041854,22.692000000039116,15.369252149876289,11.713580205131063
axis4,ERROR,3401.909000005864,3422.7100000059,20.801000000035856,19.658273849721944,11.713580205131063
axis4,ALERT,2405.3520000041462,2428.0440000041854,22.692000000039116,15.369252149876289,7.2060023250426966
axis4,ALERT,3401.909000005864,3422.7100000059,20.801000000035856,19.658273849721944,7.2060023250426966
axis5,ALERT,567.3000000009779,580.5370000010007,13.237000000022817,13.809753055434683,8.516996158758166
axis5,ALERT,658.0680000011344,680.7600000011735,22.692000000039116,20.20015444433716,8.516996158758166
axis5,ALERT,3572.0990000061574,3596.6820000062,24.583000000042375,10.914033773084293,8.516996158758166
axis6,ERROR,1002.2300000017276,1015.4670000017504,13.237000000022817,19.75683263898368,14.36785587524168
axis6,ERROR,2053.62600000354,2063.0810000035563,9.455000000016298,21.232492646684847,14.36785587524168
axis6,ALERT,1002.2300000017276,1015.4670000017504,13.237000000022817,19.75683263898368,9.469247153402463
axis6,ALERT,2053.62600000354,2063.0810000035563,9.455000000016298,21.232492646684847,9.469247153402463
axis7,ERROR,279.8680000004824,289.3230000004987,9.455000000016298,7.640029205100492,7.247292667434606
axis7,ERROR,3555.080000006128,3570.208000006154,15.128000000026077,15.746120816077871,7.247292667434606
axis7,ALERT,279.8680000004824,289.3230000004987,9.455000000016298,7.640029205100492,7.232741190149831
axis7,ALERT,3555.080000006128,3570.208000006154,15.128000000026077,15.746120816077871,7.232741190149831
axis8,ERROR,877.4240000015125,886.8790000015288,9.455000000016298,6.0414434389065885,4.077765126616697
axis8,ERROR,1554.4020000026794,1569.5300000027055,15.128000000026077,5.020175439570915,4.077765126616697
axis8,ALERT,877.4240000015125,886.8790000015288,9.455000000016298,6.0414434389065885,3.136178541982043
axis8,ALERT,1554.4020000026794,1569.5300000027055,15.128000000026077,5.020175439570915,3.136178541982043
axis8,ALERT,3536.1700000060955,3551.2980000061216,15.128000000026077,3.662154045313358,3.136178541982043
